,hhincome
4,14713.0
17,12843.0
18,75951.0
24,21242.0
37,62643.0
45,20017.0
46,26483.0
60,76545.0
65,74009.0
96,43920.0
103,38993.0
106,75604.0
107,141205.0
108,31802.0
112,20.0
113,79653.0
122,29013.0
127,22056.0
128,12290.0
137,80000.0
142,28810.0
143,19934.0
208,38801.0
217,13803.0
218,16128.0
219,32620.0
220,19837.0
225,5.0
230,2143.0
231,27241.0
257,804.0
258,17451.0
262,20041.0
273,39787.0
274,91451.0
287,24166.0
292,61225.0
306,8404.0
339,18300.0
349,43557.0
361,13513.0
385,25837.0
405,23435.0
406,148010.0
407,47245.0
413,11520.0
414,92801.0
420,34801.0
431,34102.0
432,121100.0
476,86082.0
477,82395.0
480,2000.0
481,34002.0
486,62836.0
491,11209.0
492,28680.0
502,17256.0
531,15240.0
532,25252.0
535,10000.0
536,73001.0
542,91311.0
550,4637.0
572,15000.0
579,0.0
594,13008.0
595,13018.0
598,37740.0
599,67025.0
600,240046.0
614,20949.0
638,28455.0
639,69968.0
646,46351.0
653,70002.0
662,36000.0
667,49097.0
679,15241.0
680,15373.0
681,38982.0
687,19613.0
708,33101.0
709,0.0
710,20769.0
721,100000.0
733,40061.0
739,75536.0
758,34150.0
761,75000.0
769,0.0
773,80000.0
787,34801.0
805,76055.0
814,70000.0
815,15601.0
816,75016.0
887,201068.0
894,44115.0
895,76575.0
907,129710.0
918,25971.0
919,31996.0
935,160230.0
938,66600.0
939,64801.0
940,1918.0
941,21124.0
944,32800.0
947,862.0
948,32000.0
973,3835.0
980,18246.0
994,35021.0
997,47000.0
1000,37000.0
1009,25081.0
1018,34012.0
1051,32200.0
1075,31588.0
1076,41272.0
1081,50256.0
1082,21321.0
1098,54000.0
1140,25256.0
1176,40880.0
1181,12277.0
1186,97599.0
1193,45815.0
1240,72579.0
1252,96512.0
1256,36279.0
1259,35000.0
1262,38694.0
1265,18260.0
1266,19980.0
1273,59964.0
1274,107854.0
1282,30000.0
1285,50005.0
1295,25990.0
1321,58010.0
1328,24237.0
1329,36780.0
1340,90006.0
1341,41104.0
1387,100000.0
1392,18376.0
1433,58002.0
1452,22269.0
1467,60002.0
1473,58610.0
1496,37740.0
1502,35009.0
1520,30001.0
1521,41200.0
1522,20762.0
1523,17305.0
1538,23721.0
1552,11737.0
1553,15726.0
1554,39400.0
1555,13021.0
1558,33002.0
1578,50760.0
1604,93094.0
1607,500151.0
1616,20941.0
1623,17676.0
1636,2.0
1637,162320.0
1642,21980.0
1657,46120.0
1658,30000.0
1659,87010.0
1676,70192.0
1681,69200.0
1688,21841.0
1689,107620.0
1693,86333.0
1697,133051.0
1698,1.0
1704,23646.0
1705,49923.0
1708,28520.0
1713,39200.0
1714,28732.0
1725,46556.0
1726,18401.0
1737,58438.0
1740,12841.0
1745,24417.0
1750,45555.0
1753,157240.0
1756,67300.0
1759,100000.0
1774,27542.0
1779,12442.0
1790,30673.0
1791,58302.0
1803,240003.0
1804,163589.0
1808,516119.0
1812,46851.0
1818,49167.0
1830,37922.0
1851,143012.0
1895,53022.0
1950,64885.0
1953,33000.0
1969,38512.0
1974,32000.0
1978,75003.0
1998,29243.0
2004,15720.0
2005,8020.0
2010,65000.0
2011,68050.0
2016,60218.0
2020,20304.0
2021,89551.0
2026,120000.0
2027,85599.0
2028,46018.0
2032,38030.0
2037,17002.0
2038,15000.0
2053,69600.0
2054,51000.0
2065,35078.0
2074,38308.0
2118,110003.0
2119,82800.0
2120,14041.0
2127,59641.0
2131,95641.0
2143,13249.0
2144,90050.0
2145,99886.0
2146,4834.0
2159,28082.0
2163,74201.0
2175,11627.0
2176,47728.0
2184,30702.0
2185,15001.0
2186,19223.0
2193,170400.0
2204,1.0
2205,55002.0
2206,31933.0
2216,60014.0
2227,31001.0
2228,59001.0
2229,70544.0
2237,41012.0
2238,20393.0
2263,45971.0
2275,12373.0
2288,40002.0
2289,30002.0
2302,24237.0
2303,73050.0
2315,28081.0
2318,159007.0
2319,42991.0
2324,38009.0
2334,34431.0
2335,51975.0
2346,1521.0
2365,33600.0
2376,45000.0
2383,29752.0
2386,25440.0
2389,24661.0
2390,113252.0
2417,8676.0
2427,80057.0
2430,32532.0
2433,10092.0
2443,42322.0
2444,22500.0
2454,33845.0
2458,12241.0
2461,42101.0
2462,127856.0
2475,52098.0
2505,11305.0
2540,8880.0
2547,135010.0
2634,48100.0
2639,123736.0
2640,20041.0
2641,65116.0
2669,5700.0
2704,60525.0
2705,10800.0
2710,65017.0
2711,27014.0
2716,27000.0
2719,28001.0
2720,300515.0
2729,24046.0
2730,22537.0
2733,11484.0
2740,49583.0
2743,19273.0
2744,21193.0
2745,47514.0
2746,42120.0
2747,146500.0
2773,14677.0
2784,39681.0
2785,13860.0
2805,45000.0
2806,30002.0
2821,17410.0
2830,21510.0
2833,25739.0
2834,123736.0
2843,70002.0
2846,100905.0
2857,16800.0
2876,36496.0
2879,17621.0
2880,10800.0
2886,14941.0
2887,20444.0
2903,32728.0
2907,24166.0
2908,15242.0
2909,35342.0
2923,18721.0
2930,45000.0
2931,30600.0
2932,50000.0
2935,24004.0
2944,64175.0
2945,17593.0
2946,25903.0
2966,31237.0
2969,48376.0
2970,55037.0
2971,18481.0
2972,23808.0
2973,63583.0
2974,32002.0
2975,25015.0
2981,180000.0
2989,28801.0
3014,52818.0
3017,40333.0
3018,11545.0
3022,50101.0
3027,15242.0
3032,24649.0
3033,43512.0
3036,78153.0
3037,88034.0
3048,22203.0
3058,47101.0
3059,32000.0
3063,27665.0
3064,2794.0
3065,11641.0
3118,15600.0
3125,13000.0
3128,42461.0
3131,13891.0
3136,67589.0
3139,25004.0
3144,31520.0
3145,35202.0
3146,65190.0
3147,35010.0
3158,10968.0
3179,0.0
3182,180047.0
3188,62077.0
3191,23558.0
3194,38201.0
3195,52325.0
3201,30083.0
3204,74683.0
3211,14952.0
3232,37601.0
3233,24341.0
3248,31056.0
3251,24670.0
3256,65315.0
3295,17641.0
3307,12100.0
3310,29148.0
3311,14041.0
3324,33968.0
3334,22728.0
3335,1080.0
3350,140062.0
3356,72021.0
3361,60030.0
3362,19032.0
3363,50011.0
3395,1010.0
3396,44000.0
3397,56700.0
3403,5000.0
3411,74001.0
3418,61404.0
3419,48750.0
3426,18768.0
3427,75001.0
3432,61106.0
3433,121000.0
3447,20003.0
3452,70631.0
3453,106007.0
3456,67090.0
3471,35000.0
3518,94950.0
3519,49002.0
3530,15726.0
3535,0.0
3536,30240.0
3537,10680.0
3538,10800.0
3541,6000.0
3556,12000.0
3557,13033.0
3558,65500.0
3563,39648.0
3568,32000.0
3569,67589.0
3590,61420.0
3616,12000.0
3617,75543.0
3618,51923.0
3619,11110.0
3620,75001.0
3650,0.0
3664,14046.0
3668,25276.0
3673,20945.0
3713,56000.0
3719,51110.0
3723,42061.0
3736,12841.0
3741,24016.0
3742,10382.0
3753,69900.0
3756,96761.0
3768,21792.0
3769,60011.0
3770,18801.0
3794,18403.0
3795,16633.0
3798,10813.0
3799,63000.0
3800,33919.0
3807,65302.0
3811,78153.0
3817,94001.0
3827,26400.0
3860,101013.0
3861,15002.0
3867,67312.0
3868,15481.0
3869,136980.0
3883,35462.0
3889,76023.0
3894,90896.0
3917,64725.0
3956,20002.0
3981,45360.0
3982,88592.0
3993,95001.0
3994,61000.0
4058,22000.0
4062,35700.0
4069,39996.0
4125,101221.0
4131,30000.0
4170,75001.0
4174,13249.0
4186,22400.0
4187,46336.0
4204,40400.0
4205,15303.0
4218,15241.0
4282,36061.0
4283,61901.0
4286,41700.0
4287,62008.0
4313,16083.0
4314,41140.0
4315,17041.0
4322,32198.0
4334,132155.0
4343,201821.0
4344,70001.0
4351,15000.0
4354,10417.0
4358,25025.0
4373,56400.0
4377,25177.0
4378,26041.0
4379,17571.0
4382,19922.0
4383,45123.0
4387,136380.0
4394,19782.0
4426,85543.0
4430,93373.0
4431,79630.0
4434,33828.0
4484,20100.0
4501,110013.0
4517,103617.0
4524,151200.0
4541,64619.0
4558,22.0
4571,41935.0
4572,47890.0
4577,62000.0
4596,12756.0
4606,56239.0
4630,11136.0
4639,20540.0
4649,68069.0
4650,45092.0
4684,33126.0
4689,88000.0
4696,15253.0
4714,18168.0
4718,15720.0
4719,82501.0
4722,26000.0
4754,13321.0
4763,26329.0
4772,20859.0
4786,10200.0
4804,30001.0
4886,42011.0
4894,200000.0
4908,19320.0
4916,36143.0
4917,100267.0
4929,2335.0
4943,21084.0
4944,0.0
4954,85400.0
4955,35003.0
4956,17253.0
4963,13201.0
4966,19200.0
4967,22001.0
4975,437100.0
4980,37000.0
4981,26856.0
4989,177018.0
5001,120002.0
5008,21001.0
5035,47003.0
5036,35900.0
5049,303.0
5050,67361.0
5051,84305.0
5059,50012.0
5060,127491.0
5085,159205.0
5121,63683.0
5152,96500.0
5212,34716.0
5237,106938.0
5240,94967.0
5241,217410.0
5257,9600.0
5277,34094.0
5292,30070.0
5293,22148.0
5315,75395.0
5320,250000.0
5325,45422.0
5336,33654.0
5348,34800.0
5355,34511.0
5390,45001.0
5402,11041.0
5419,10002.0
5420,46001.0
5423,25680.0
5424,200520.0
5486,75800.0
5503,100001.0
5510,15600.0
5523,33280.0
5528,52000.0
5538,0.0
5554,56202.0
5561,120001.0
5564,59950.0
5623,29407.0
5624,120002.0
5628,86283.0
5639,16441.0
5640,15373.0
5641,1206.0
5654,52000.0
5690,70000.0
5695,75251.0
5696,162803.0
5697,39271.0
5701,32040.0
5718,30301.0
5730,21600.0
5731,19897.0
5732,10801.0
5743,14905.0
5744,12949.0
5758,92301.0
5777,9800.0
5778,120445.0
5787,6473.0
5797,20856.0
5812,29001.0
5815,37442.0
5822,200000.0
5840,0.0
5846,505800.0
5847,7646.0
5854,10573.0
5896,30000.0
5897,61450.0
5898,101021.0
5899,30972.0
5917,85002.0
5938,50002.0
5959,88705.0
5962,74538.0
5966,93541.0
5973,60012.0
5974,91276.0
5975,0.0
5976,11641.0
5981,54020.0
6001,40580.0
6002,100140.0
6003,72726.0
6004,29602.0
6010,46660.0
6019,34402.0
6022,20161.0
6023,11041.0
6028,55020.0
6058,68503.0
6086,55296.0
6087,112014.0
6134,65842.0
6145,33552.0
6165,100518.0
6171,1980.0
6177,46890.0
6210,30070.0
6229,87000.0
6230,41935.0
6231,150300.0
6236,30581.0
6241,130750.0
6242,10968.0
6245,92649.0
6253,170801.0
6263,74400.0
6270,64512.0
6271,55502.0
6279,15445.0
6280,102743.0
6288,24363.0
6295,159003.0
6296,55303.0
6297,600.0
6298,12841.0
6299,25537.0
6310,23642.0
6313,10682.0
6316,7.0
6317,18518.0
6322,30045.0
6326,13561.0
6331,101024.0
6341,135101.0
6342,36918.0
6343,60311.0
6344,20401.0
6348,5210.0
6349,177952.0
6360,25402.0
6372,130040.0
6378,12841.0
6383,40817.0
6384,11136.0
6395,66490.0
6404,31273.0
6405,100500.0
6422,56220.0
6432,156100.0
6433,424055.0
6436,50014.0
6437,12000.0
6438,35001.0
6449,32000.0
6450,9241.0
6457,16357.0
6499,108440.0
6503,10500.0
6520,63015.0
6521,35572.0
6524,120121.0
6528,100650.0
6538,5200.0
6543,52452.0
6548,154017.0
6549,0.0
6575,72020.0
6576,4742.0
6577,62652.0
6581,68342.0
6582,11041.0
6586,15085.0
6589,200770.0
6592,19574.0
6610,20711.0
6616,8556.0
6617,57001.0
6637,9610.0
6653,14713.0
6656,24773.0
6670,33000.0
6691,91152.0
6706,27084.0
6710,68501.0
6711,136063.0
6712,34500.0
6729,251204.0
6735,30070.0
6742,55227.0
6756,7500.0
6760,30005.0
6761,31012.0
6764,15792.0
6796,1500.0
6811,36808.0
6826,48019.0
6829,17340.0
6838,47000.0
6850,40001.0
6854,64275.0
6864,473878.0
6873,0.0
6888,93006.0
6889,40111.0
6907,27111.0
6908,78000.0
6925,0.0
6955,12000.0
6967,31210.0
6968,13054.0
6969,14400.0
6970,34000.0
6979,85000.0
7009,38775.0
7010,50001.0
7026,0.0
7034,13000.0
7037,69391.0
7038,89605.0
7039,119070.0
7044,37680.0
7065,180056.0
7087,22705.0
7088,70613.0
7111,36971.0
7112,20000.0
7117,61120.0
7118,31642.0
7126,20908.0
7175,117701.0
7176,162423.0
7177,19372.0
7178,109400.0
7187,11532.0
7188,40401.0
7193,179106.0
7194,73001.0
7197,11851.0
7209,45246.0
7215,95648.0
7218,22886.0
7221,15373.0
7241,10165.0
7242,36782.0
7245,113053.0
7263,164651.0
7266,90036.0
7267,0.0
7268,102002.0
7281,118927.0
7290,42002.0
7309,24401.0
7310,62155.0
7330,55004.0
7333,38000.0
7334,16140.0
7346,67193.0
7369,49400.0
7386,101440.0
7391,14605.0
7485,70640.0
7580,35269.0
7585,160107.0
7586,170492.0
7623,29.0
7636,21241.0
7639,49200.0
7646,50.0
7649,16441.0
7658,38000.0
7669,24363.0
7673,15020.0
7674,21290.0
7677,57483.0
7681,24324.0
7695,70000.0
7702,132480.0
7703,68591.0
7710,31121.0
7713,36880.0
7714,73005.0
7720,52800.0
7721,41150.0
7738,23881.0
7761,115001.0
7823,47200.0
7839,40862.0
7840,38812.0
7841,91800.0
7845,32000.0
7851,153751.0
7872,45879.0
7875,196539.0
7890,61044.0
7894,21939.0
7895,131905.0
7896,80380.0
7899,131585.0
7900,26301.0
7901,122040.0
7904,86283.0
7905,10333.0
7908,17328.0
7909,47696.0
7910,96165.0
7911,26092.0
7912,75823.0
7916,5200.0
7928,45422.0
7934,22400.0
7935,36300.0
7936,41641.0
7939,28080.0
7950,18889.0
7951,68161.0
7952,113992.0
7971,62001.0
7982,11724.0
7985,33080.0
7994,71051.0
7995,65003.0
7996,11580.0
8001,52765.0
8002,82361.0
8003,30612.0
8006,31743.0
8007,20449.0
8028,68751.0
8029,62300.0
8065,32200.0
8069,22237.0
8070,12000.0
8075,47785.0
8076,11400.0
8077,0.0
8096,21601.0
8097,59000.0
8102,49489.0
8122,21939.0
8126,20041.0
8139,10968.0
8145,40889.0
8146,16180.0
8165,54570.0
8166,9600.0
8186,109709.0
8208,110135.0
8214,39319.0
8215,20000.0
8254,45045.0
8255,17411.0
8256,72286.0
8269,13693.0
8303,49800.0
8328,43000.0
8329,101401.0
8330,35000.0
8348,23350.0
8362,210190.0
8368,10560.0
8387,13189.0
8412,32660.0
8413,57000.0
8419,34441.0
8420,45002.0
8426,53501.0
8435,93755.0
8443,10968.0
8446,15900.0
8454,58200.0
8489,60350.0
8505,22441.0
8523,0.0
8557,51443.0
8560,41150.0
8561,37294.0
8571,28491.0
8577,63099.0
8578,41237.0
8582,56026.0
8583,54804.0
8584,80205.0
8589,100007.0
8590,114002.0
8594,32177.0
8599,66590.0
8602,19782.0
8608,132038.0
8609,32671.0
8614,155311.0
8615,40000.0
8618,98000.0
8619,36404.0
8660,125410.0
8669,23000.0
8670,42200.0
8706,26045.0
8709,14821.0
8710,15575.0
8711,11038.0
8712,6002.0
8713,12433.0
8714,0.0
8715,60596.0
8716,13310.0
8717,17928.0
8718,12433.0
8736,28126.0
8743,29881.0
8744,15180.0
8757,11641.0
8776,65900.0
8795,78421.0
8813,56603.0
8814,71843.0
8831,17411.0
8834,50210.0
8835,59140.0
8864,33969.0
8867,18000.0
8872,5820.0
8876,59839.0
8884,1426.0
8885,128549.0
8886,82021.0
8891,19750.0
8901,85000.0
8910,76230.0
8920,25480.0
8930,141700.0
8939,39172.0
8940,80852.0
8949,14641.0
8987,109569.0
8996,600300.0
9002,39816.0
9003,27553.0
9004,33080.0
9026,73403.0
9033,1200.0
9051,53390.0
9086,53358.0
9087,10000.0
9147,99004.0
9178,19680.0
9179,100989.0
9226,19981.0
9227,48285.0
9264,49262.0
9277,68631.0
9282,31044.0
9285,120101.0
9289,46240.0
9298,20737.0
9299,25029.0
9314,27912.0
9319,71005.0
9320,80102.0
9324,13249.0
9329,51002.0
9333,16840.0
9336,51002.0
9370,28441.0
9375,90000.0
9380,10015.0
9397,10400.0
9398,55988.0
9408,1206.0
9417,16549.0
9428,31701.0
9437,120206.0
9438,43633.0
9459,52141.0
9483,52002.0
9491,43562.0
9496,30500.0
9515,100555.0
9527,129828.0
9557,11280.0
9558,23000.0
9564,39700.0
9565,42002.0
9590,125081.0
9600,23400.0
9607,24938.0
9628,60001.0
9629,8000.0
9633,120500.0
9640,14689.0
9650,35015.0
9651,20002.0
9667,36414.0
9668,19000.0
9689,75001.0
9700,96021.0
9712,28745.0
9732,61000.0
9733,196552.0
9741,47906.0
9754,67010.0
9760,10452.0
9761,9480.0
9766,103270.0
9767,38001.0
9768,10801.0
9769,84501.0
9773,4801.0
9786,24472.0
9797,3942.0
9811,55801.0
9814,59148.0
9815,7000.0
9816,26802.0
9823,64602.0
9824,4840.0
9831,39445.0
9853,14965.0
9862,91276.0
9870,103600.0
9919,91613.0
9925,309257.0
9931,37301.0
9932,510282.0
9938,90000.0
9939,48673.0
9940,80320.0
9943,71621.0
9965,14930.0
9966,19092.0
9977,21241.0
9994,100011.0
10035,9400.0
10039,28000.0
10101,45401.0
10106,56800.0
10127,36259.0
10128,13249.0
10140,66513.0
10141,15468.0
10154,21321.0
10155,64644.0
10163,267560.0
10170,17234.0
10179,165855.0
10180,59100.0
10211,22901.0
10240,115096.0
10246,69235.0
10247,130908.0
10258,43539.0
10259,20400.0
10260,38694.0
10271,18097.0
10272,90194.0
10302,25702.0
10314,53019.0
10324,19769.0
10341,40846.0
10345,31643.0
