,hhincome
4,14713
17,12843
18,75951
24,21242
37,62643
45,20017
46,26483
60,76545
65,74009
96,43920
103,38993
106,75604
107,141205
108,31802
112,20
113,79653
122,29013
127,22056
128,12290
137,80000
142,28810
143,19934
208,38801
217,13803
218,16128
219,32620
220,19837
225,5
230,2143
231,27241
257,804
258,17451
262,20041
273,39787
274,91451
287,24166
292,61225
306,8404
339,18300
349,43557
361,13513
385,25837
405,23435
406,148010
407,47245
413,11520
414,92801
420,34801
431,34102
432,121100
476,86082
477,82395
480,2000
481,34002
486,62836
491,11209
492,28680
502,17256
531,15240
532,25252
535,10000
536,73001
542,91311
550,4637
572,15000
579,0
594,13008
595,13018
598,37740
599,67025
600,240046
614,20949
638,28455
639,69968
646,46351
653,70002
662,36000
667,49097
679,15241
680,15373
681,38982
687,19613
708,33101
709,0
710,20769
721,100000
733,40061
739,75536
758,34150
761,75000
769,0
773,80000
787,34801
805,76055
814,70000
815,15601
816,75016
887,201068
894,44115
895,76575
907,129710
918,25971
919,31996
935,160230
938,66600
939,64801
940,1918
941,21124
944,32800
947,862
948,32000
973,3835
980,18246
994,35021
997,47000
1000,37000
1009,25081
1018,34012
1051,32200
1075,31588
1076,41272
1081,50256
1082,21321
1098,54000
1140,25256
1176,40880
1181,12277
1186,97599
1193,45815
1240,72579
1252,96512
1256,36279
1259,35000
1262,38694
1265,18260
1266,19980
1273,59964
1274,107854
1282,30000
1285,50005
1295,25990
1321,58010
1328,24237
1329,36780
1340,90006
1341,41104
1387,100000
1392,18376
1433,58002
1452,22269
1467,60002
1473,58610
1496,37740
1502,35009
1520,30001
1521,41200
1522,20762
1523,17305
1538,23721
1552,11737
1553,15726
1554,39400
1555,13021
1558,33002
1578,50760
1604,93094
1607,500151
1616,20941
1623,17676
1636,2
1637,162320
1642,21980
1657,46120
1658,30000
1659,87010
1676,70192
1681,69200
1688,21841
1689,107620
1693,86333
1697,133051
1698,1
1704,23646
1705,49923
1708,28520
1713,39200
1714,28732
1725,46556
1726,18401
1737,58438
1740,12841
1745,24417
1750,45555
1753,157240
1756,67300
1759,100000
1774,27542
1779,12442
1790,30673
1791,58302
1803,240003
1804,163589
1808,516119
1812,46851
1818,49167
1830,37922
1851,143012
1895,53022
1950,64885
1953,33000
1969,38512
1974,32000
1978,75003
1998,29243
2004,15720
2005,8020
2010,65000
2011,68050
2016,60218
2020,20304
2021,89551
2026,120000
2027,85599
2028,46018
2032,38030
2037,17002
2038,15000
2053,69600
2054,51000
2065,35078
2074,38308
2118,110003
2119,82800
2120,14041
2127,59641
2131,95641
2143,13249
2144,90050
2145,99886
2146,4834
2159,28082
2163,74201
2175,11627
2176,47728
2184,30702
2185,15001
2186,19223
2193,170400
2204,1
2205,55002
2206,31933
2216,60014
2227,31001
2228,59001
2229,70544
2237,41012
2238,20393
2263,45971
2275,12373
2288,40002
2289,30002
2302,24237
2303,73050
2315,28081
2318,159007
2319,42991
2324,38009
2334,34431
2335,51975
2346,1521
2365,33600
2376,45000
2383,29752
2386,25440
2389,24661
2390,113252
2417,8676
2427,80057
2430,32532
2433,10092
2443,42322
2444,22500
2454,33845
2458,12241
