good,year,quantity,price,exp
electricity,2019,3202.7862346203774,0.2992,958.273641398417
electricity,2020,3168.579861361116,0.3161,1001.5880941762488
electricity,2021,3308.578524379622,0.3274,1083.2286088818885
electricity,2022,3241.9619118128694,0.3421,1109.0751700311828
electricity,2023,3122.2396054054534,0.4202,1311.9650821913715
gas,2019,7193.4028103229275,0.0583,419.37538384182665
gas,2020,7388.601199823828,0.0604,446.27151246935927
gas,2021,7253.499733133582,0.0658,477.28028244018964
gas,2022,7348.223579810421,0.0853,626.8034713578289
gas,2023,7296.289331360283,0.1192,869.7176882981457
non-energy,2019,29658.64419573845,0.9897927491566796,29355.910974759758
non-energy,2020,28636.14039335439,0.9926656642559302,28426.11332529521
non-energy,2021,29015.995255749687,1.0224206366865258,29666.552343476807
non-energy,2022,29415.718111262242,1.0900466439413679,32064.50480630672
