n_adults,n_youth,n_kids,gross_income,disposable_income
1,0.0,0.0,2369.2754739241036,2015.577471367822
2,0.0,0.0,4213.248612252432,2532.6036399777076
1,0.0,3.0,540.8524947223979,1230.7359333517977
2,0.0,3.0,2804.3881752971206,2176.9555557192866
2,0.0,0.0,2003.7798442288279,1660.3837424242247
1,0.0,0.0,2133.4365932530195,2074.1316533232316
2,0.0,3.0,1619.6332305353537,1543.0676439307795
4,0.0,2.0,492.22353603265503,1241.5490392592278
2,0.0,2.0,960.3777280538852,1057.0170709083832
2,2.0,0.0,3909.4366986585947,2510.2372137715597
2,0.0,0.0,4664.973492361419,2654.1317394219145
3,1.0,0.0,1438.1807298689314,1166.8386004987588
1,1.0,0.0,10.556564684774118,816.7725457401062
2,0.0,0.0,3576.453268165928,3190.3039716028925
4,0.0,0.0,4007.5939847949435,2626.0859187847427
4,1.0,1.0,1193.0640816136008,1172.9939008561491
1,0.0,0.0,161.9530874532974,553.1666666666666
2,1.0,0.0,1195.3655281020942,1063.249572376803
2,0.0,0.0,1204.2386538398632,1092.7850707895643
1,0.0,0.0,3814.6834448390523,2178.9904534560146
1,0.0,0.0,2553.4959959385205,1656.0085238973015
2,0.0,2.0,3567.312457621862,2527.461575025866
2,0.0,2.0,2329.482864796421,1879.4512972152281
2,0.0,0.0,4018.604032428755,3979.1701303745044
2,0.0,0.0,9279.447369400117,5107.72631196519
1,0.0,0.0,776.3863075969261,861.3863075969261
2,0.0,1.0,1324.6119737048002,1135.7221750421672
2,0.0,0.0,1867.6939509765236,1690.456224677695
2,0.0,0.0,2908.517056839679,2662.7764007336614
4,0.0,0.0,10606.870588850068,5844.971595253824
3,0.0,0.0,3929.564347278933,2477.9164464967953
1,0.0,0.0,210.81396729537937,1105.8285549203738
1,0.0,0.0,0.0,861.0352589460343
4,0.0,0.0,1903.073036223248,1509.4528234904858
1,0.0,0.0,1284.902833241943,1160.5903486930097
1,0.0,0.0,357.35526994768264,869.7975623335545
2,1.0,1.0,1997.9607101065499,1738.1923569104842
2,0.0,0.0,3579.2330990979067,2063.734992694388
2,0.0,0.0,8181.493390029617,4688.000988443547
2,0.0,0.0,3105.9142082509074,2219.2581412309996
2,0.0,2.0,3111.0304271194987,2185.5340559310025
2,1.0,0.0,2592.090174226836,2037.2075856313181
3,0.0,0.0,347.17929587240656,1073.4358591744813
2,0.0,0.0,3394.766912520467,2079.876570015017
2,0.0,2.0,1253.5176665524452,1760.5809654986701
3,0.0,0.0,1856.0878025355794,1607.6688181577397
1,0.0,0.0,1118.7601970858586,1035.4123498475783
1,0.0,0.0,22.129851480046458,767.1654482659718
2,0.0,1.0,1922.654279162505,1312.823064929775
2,0.0,2.0,2630.1739275766913,2542.329313075194
4,0.0,0.0,434.54571789143466,666.5444688037089
1,0.0,2.0,1530.2421621703143,1664.8896772967141
2,0.0,2.0,1015.1055378511396,1299.9232990296482
1,0.0,1.0,924.8100479005465,1272.4703018582761
1,0.0,0.0,1248.9172937271483,1248.9172937271483
3,0.0,0.0,3996.498555559056,2401.2664750476515
1,0.0,0.0,1363.5113913599532,1022.7223003053998
2,0.0,2.0,3741.6124111126014,2624.8154146707825
1,1.0,1.0,1505.830051252646,1526.5686993357335
1,0.0,0.0,2250.9985249621336,1556.4570504604796
4,0.0,0.0,2851.470515426459,2228.0000405352957
3,0.0,0.0,5402.608776336022,4288.506944748926
2,1.0,3.0,5300.595851274304,3525.16523349266
2,0.0,0.0,3880.669167618344,2095.5798617615387
2,0.0,1.0,3521.9876125030028,2297.6542703876007
2,0.0,1.0,5718.20284331133,3252.3595373610574
1,0.0,0.0,732.5694049905399,738.1666666666666
2,0.0,2.0,1939.037940496926,1659.283803291481
1,0.0,1.0,770.6741051032479,1355.6750903737598
2,0.0,0.0,693.8865192980298,588.7815203490799
3,0.0,0.0,7859.744870711647,4430.77984862174
2,0.0,2.0,2683.3707201651014,1890.5610277628489
2,0.0,0.0,2406.238657455728,1984.114278676155
2,1.0,1.0,2524.391465602058,1975.6608716180517
2,0.0,3.0,278.16060118826476,855.0626237789836
2,0.0,1.0,3111.8666078223505,2132.825638208785
2,0.0,2.0,247.12001062096607,881.3146563390345
1,0.0,0.0,226.1116353588609,58.5368555490669
3,0.0,0.0,3993.796430813374,2268.090395446413
2,0.0,0.0,588.7454883851552,899.0824310103644
2,0.0,0.0,1533.852153583556,1367.703087685155
2,0.0,0.0,1813.0095653515589,1398.8112198218494
2,0.0,0.0,2327.2331246065673,1588.7935151030015
1,1.0,0.0,1882.7422616842316,1534.5732334723161
1,0.0,0.0,1342.1909693187072,1007.5528926533539
4,0.0,2.0,19.648414459820213,855.483870967742
4,1.0,0.0,3362.0689680779337,2309.138714667741
2,0.0,0.0,4028.8227751530762,2518.3945603018196
2,0.0,0.0,5125.454788868235,2898.7394382191765
1,0.0,0.0,1719.1413535899483,1601.7126194157283
1,0.0,0.0,2709.889467839565,2709.889467839565
1,1.0,0.0,1958.3860676723227,1644.7968081990903
2,0.0,1.0,2610.401292669982,2341.7432275011606
1,0.0,2.0,265.0548168335847,939.4320434749076
1,0.0,0.0,1048.9074505035517,953.8054511909269
3,0.0,0.0,5494.869673177635,2984.283853179816
1,0.0,0.0,1193.329237828482,1015.1050722875955
2,0.0,1.0,203.3669581189575,1089.739812278738
2,0.0,0.0,2661.991847632647,2163.233921763848
1,0.0,0.0,2399.063897890358,1548.376106464967
2,0.0,0.0,1770.3894227179062,1352.8587456221915
3,0.0,0.0,3920.196863728364,2402.3671137998685
2,0.0,2.0,2699.048623500089,1966.4035610311337
2,1.0,1.0,8.374167309281328,777.9186754090143
2,2.0,1.0,2535.0090093308695,2004.1166407593964
2,0.0,0.0,2694.31153035165,1808.4287257132264
2,0.0,0.0,1193.9136730478417,1098.6666666666665
2,0.0,0.0,2176.2496909063207,1942.00848020129
2,0.0,0.0,4095.475943057993,3901.171209614357
2,1.0,3.0,45.513429796391605,833.4526581593082
2,0.0,1.0,3461.273107015804,2596.5793637621928
2,0.0,0.0,155.90063319238172,517.4086280415504
2,0.0,0.0,8309.790438805212,4340.3764268605955
2,0.0,6.0,57.99903945629685,1099.7803751856202
3,0.0,2.0,559.0724267915912,1179.0549062635268
1,0.0,1.0,398.07273593765154,1063.4774401954896
1,0.0,0.0,1494.6577432893205,1434.685850415164
1,0.0,0.0,154.81500473868093,154.81500473868093
2,0.0,0.0,2390.7265595820218,1655.8249584351531
2,0.0,2.0,84.34662040630211,638.0952380952381
4,0.0,2.0,74.75156807617523,816.7741935483871
1,0.0,0.0,2019.3772656512415,1781.3775888034766
1,0.0,0.0,2797.221285179659,1748.302786745172
2,0.0,0.0,5881.154847822244,5858.896234150805
2,0.0,0.0,2336.3681476445095,1655.900682710678
2,0.0,2.0,4087.235787942316,2580.425614974567
2,0.0,3.0,41.21189613426056,915.4771394749166
2,0.0,2.0,2292.733426640856,2121.7492277413858
2,0.0,2.0,2924.441548268282,2161.838393060595
1,0.0,0.0,574.5171457756671,512.1820354590072
3,0.0,0.0,1930.4338861087595,1532.9985552648084
3,0.0,3.0,934.6792896316517,1415.9496856496767
1,0.0,0.0,2004.3787936341323,1819.9307248802538
2,2.0,1.0,3207.950532099192,2327.8146778072482
2,0.0,0.0,205.98707362144071,204.29100507795332
2,0.0,0.0,2056.2145304947167,1650.556730686387
3,0.0,0.0,4687.660657426982,2669.18625473705
2,0.0,0.0,4826.366884982618,2823.6858927718386
3,0.0,4.0,67.40140938069314,939.6949592710652
2,0.0,0.0,7610.225644394243,5129.684772632029
1,0.0,0.0,5425.815335300691,4337.114011725203
2,0.0,5.0,1034.0846262767443,1505.2767913743262
4,0.0,1.0,2765.9942076112407,2098.8882595990876
2,0.0,1.0,97.04972414200074,866.5688246173702
2,0.0,0.0,1813.9928664247607,1592.7398664669574
2,0.0,0.0,1453.0097683380438,1295.3582084733662
3,1.0,0.0,962.7186816594152,1274.4788134936334
1,0.0,0.0,2211.998963428834,1460.0119121381204
2,0.0,0.0,5468.666359205389,3662.5492594770462
1,0.0,0.0,1576.325880992206,1190.3953009764
2,0.0,0.0,1530.0374797055213,1364.925320841783
2,0.0,1.0,270.3406734875398,793.6825133702124
2,0.0,0.0,6243.136999549395,3578.3621945323666
1,0.0,0.0,3625.4936550088964,2105.943575043625
2,0.0,3.0,1660.90048814449,1713.0246649488035
1,0.0,0.0,1451.1960012804284,1067.711135814467
2,0.0,2.0,6414.819854975359,3872.509517065903
1,0.0,0.0,2364.3933992389425,1570.4131025957863
2,0.0,5.0,362.38193155559617,946.7702656820117
2,0.0,0.0,1705.6021898243605,2073.106902331336
2,0.0,0.0,2431.1312180844443,2166.174645100426
1,0.0,0.0,741.2994571525343,1265.4137169222793
3,1.0,0.0,3914.331300793279,2438.2930760770932
2,1.0,1.0,182.25341269531376,565.949550998044
2,0.0,0.0,1719.8276491590134,1690.2781300857716
1,0.0,0.0,1517.9281293002466,1353.5559864733762
2,0.0,0.0,3922.6649979202098,3250.7036654480276
2,0.0,2.0,61.4124558698357,849.6122955098829
2,0.0,4.0,53.214197461458774,1045.8074074074073
2,0.0,0.0,3289.9259973689427,1962.7474012169596
2,0.0,2.0,25.34780865185757,821.3818565774679
1,0.0,0.0,7606.678948866582,3971.7684817701966
1,0.0,0.0,3185.413276251768,1918.7353148315487
1,0.0,0.0,1280.2812583519162,1213.0406306159086
2,0.0,0.0,6541.908820684453,3540.8012207840607
2,0.0,0.0,1810.4037870371042,1613.684830992108
2,0.0,0.0,3655.337115473813,2159.5397482485128
1,0.0,0.0,2159.9032420542553,1433.916865911788
1,0.0,0.0,2242.4024692374405,1994.6176307728042
1,0.0,0.0,0.0,724.1346429601308
1,0.0,0.0,1297.2659752751647,984.4514716299593
2,0.0,0.0,897.2001232490878,822.6289492541244
2,0.0,1.0,1923.8327715989483,1500.3784004302634
3,0.0,0.0,2457.6971169479875,2051.6193983527073
3,0.0,0.0,1747.9710906034,1422.767040796325
3,0.0,0.0,224.4844671714851,739.3370435246355
2,0.0,3.0,3095.5297587412174,2151.7689700824467
3,0.0,0.0,89.5591486674597,535.1303137679733
1,0.0,0.0,1046.7282751676917,933.1582573119971
3,0.0,0.0,379.56408849899935,877.1009300716812
1,0.0,0.0,496.4048051668083,729.4065636856119
2,0.0,0.0,601.8742863776953,1756.4788639473818
2,2.0,2.0,1326.9984662828335,1258.7878214376776
2,1.0,1.0,165.7302865338651,978.5315749852524
1,0.0,0.0,4178.4718817236435,2328.638995479613
2,0.0,1.0,719.0416338480901,1124.7591145556407
4,0.0,0.0,3027.1684469823053,2070.8755446392342
1,1.0,1.0,1229.7758609715395,1379.2659956777227
2,0.0,0.0,1317.9642066680103,1112.559309560949
1,0.0,0.0,5686.451205639959,3018.9468285151243
2,1.0,1.0,2661.1486688509485,1931.9011225197062
1,1.0,0.0,1206.2048710608433,1249.142676160196
2,0.0,0.0,1817.2433821338964,2359.3692920069575
1,0.0,0.0,0.0,722.0411114023317
2,0.0,0.0,2953.5839993160075,2355.9500084749
2,0.0,1.0,63.070230580464084,759.1284325478626
2,0.0,4.0,2295.346870429826,2085.5428413061213
3,0.0,0.0,818.8878679666319,705.0338836356561
2,0.0,0.0,18375.527005976717,10467.458998261493
1,0.0,1.0,1296.5732503838196,1379.5565901818425
1,0.0,0.0,14137.00652420491,7960.338905869012
2,0.0,0.0,3941.6745646042964,2538.0666608524516
2,3.0,1.0,47.89051313838807,846.0358766997927
2,0.0,0.0,4040.8602252921287,2588.973485724745
4,0.0,0.0,2158.910838755785,1714.4048903878981
1,1.0,0.0,2771.0560833633176,2249.2895125229893
2,0.0,1.0,1229.6313605370215,1252.2555979635601
3,0.0,0.0,485.4922768977643,694.5000000000001
2,0.0,6.0,51.13895540222755,907.7124069735661
2,0.0,2.0,2441.123335953755,1817.2802540204186
2,0.0,0.0,2095.4496536855263,1912.8151623386154
2,0.0,1.0,5524.361378662011,3355.8045493961336
2,0.0,2.0,491.1953046332713,1046.827292474985
1,0.0,0.0,3122.3072389141184,1883.5710023813617
1,0.0,0.0,1860.3357897659753,1610.9706904831778
1,0.0,0.0,2253.920192553798,1547.0863704150274
1,0.0,0.0,1327.1160385926037,1183.3659844892659
1,0.0,1.0,100.38270973635751,535.2124299825663
2,0.0,2.0,1399.31221284261,1250.8138520209309
1,0.0,0.0,1097.2420163196498,930.5143371716504
3,0.0,0.0,5080.160032425347,3125.5304784604914
2,0.0,0.0,8342.18106392041,4631.737969713321
1,0.0,0.0,2595.591650813559,1689.5253243105908
2,0.0,0.0,1686.9632964476648,1488.3722232275377
2,0.0,2.0,1452.677341475664,1433.5803310680299
1,0.0,0.0,1192.495610688182,1063.8810322016184
2,0.0,0.0,5917.808704335428,3505.5491343643175
2,0.0,0.0,2088.5823202653955,1828.732593032574
2,0.0,2.0,2795.8379293869843,2136.5424953422994
1,0.0,0.0,1350.754051513292,1200.5712946970893
1,0.0,0.0,0.0,652.1913267164539
3,0.0,0.0,894.6651110543135,1026.7401779434404
2,0.0,0.0,2900.8279206405296,1852.239041717299
1,0.0,0.0,0.0,704.044335644535
1,0.0,0.0,1635.8406345036908,1456.1566840478724
2,0.0,1.0,2856.65561453542,2109.423017498404
2,0.0,0.0,1160.3183593873912,1041.2870808223977
2,0.0,0.0,1687.682417678391,1470.631847751173
1,0.0,0.0,1860.8813180084915,1683.5580070937351
1,0.0,0.0,614.4445157025507,595.7101539456194
2,0.0,2.0,1932.9281995576232,1712.6187593594507
2,0.0,0.0,1431.839602452723,1353.007451304116
1,0.0,0.0,2437.6457163745386,1569.0263106462176
1,0.0,2.0,609.6608036150218,1042.948627869982
2,0.0,0.0,1015.1996517974736,942.4700045875567
2,0.0,3.0,1094.8633452216418,1440.498817275399
1,0.0,0.0,2165.915389813621,2001.4902242991427
1,0.0,0.0,421.2866925907002,690.7126063075318
1,0.0,1.0,10.9008681454455,914.3016680950356
2,0.0,3.0,27.049376901995217,873.2873371292671
1,0.0,0.0,1556.559517808522,1173.215631821844
4,0.0,0.0,3686.227541069239,2650.5598772963217
1,0.0,0.0,823.6556169889388,972.6832756730303
1,0.0,0.0,4669.418555991271,2571.867331975291
1,0.0,3.0,48.393852242623836,1067.242105263158
2,0.0,0.0,2939.4291614326867,2698.28275972165
3,0.0,0.0,152.46284636408168,855.9040481999755
4,1.0,0.0,4720.202100426036,3065.298764861025
1,0.0,0.0,2234.915914413835,1474.8584206875557
