longname;logmort0
Angola;5.6347895
Argentina;4.232656
Australia;2.1459312
Burkina Faso;5.6347895
Bahamas;4.4426513
Bolivia;4.2626801
Brazil;4.2626801
Canada;2.7788193
Chile;4.232656
Cote d'Ivoire;6.5042882
Cameroon;5.6347895
Congo;5.480639
Colombia;4.2626801
Costa Rica;4.3579903
Dominican Re;4.8675346
Algeria;4.3592696
Ecuador;4.2626801
Egypt;4.2165623
Ethiopia;3.2580965
Gabon;5.6347895
Ghana;6.5042882
Guinea;6.1800165
Gambia;7.2930179
Guatemala;4.2626801
Guyana;3.4713452
Honduras;4.3579903
Haiti;4.8675346
Jamaica;4.8675346
Kenya;4.9767337
Morocco;4.3592696
Madagascar;6.2842088
Mexico;4.2626801
Mali;7.986165
Malta;2.7911651
Niger;5.9914646
Nigeria;7.6029005
Nicaragua;5.0955892
New Zealand;2.1459312
Panama;5.0955892
Peru;4.2626801
Paraguay;4.3579903
Sudan;4.4796071
Senegal;5.1038828
Sierra Leone;6.1800165
El Salvador;4.3579903
Togo;6.5042882
Trinidad and Tobago;4.4426513
Tunisia;4.1431346
Tanzania;4.9767337
Uganda;5.6347895
Uruguary;4.2626801
USA;2.7080503
Venezuela;4.3579903
South Africa;2.74084
Zaire;5.480639
