n_adults,n_youth,n_kids,gross_income,disposable_income
1,,3.0,103.79115300141152,1667.76
1,,,3702.9330773565266,3681.0497192017274
2,,,1241.0536323479123,1626.1307264695827
2,,,1345.8001848736317,1233.9434238811866
2,,2.0,14525.271793762988,8975.476720064384
5,,,3660.645881418904,3341.3539969891995
2,,,2302.4460750695507,2052.6306759245044
4,,,6805.127256170481,4898.936087523258
2,,1.0,8605.058238334492,6368.867584472432
2,,,7124.987254921662,4119.737408945983
2,,,7071.187931052951,6661.131433636514
1,,,72.9531382163329,623.8368563747922
3,1.0,,6560.857034921052,4578.360373976073
2,,,7006.739551886151,4136.397715515963
2,,,7554.206781922601,5485.8359338023365
2,,,6991.579418260249,4465.052674748221
2,2.0,1.0,72.87810854243249,2096.0
1,,,2769.589398770027,2505.3300431629887
2,,,5132.7601346689935,3296.0832315222096
2,,,7247.3324412979255,6990.946367882019
1,,,129.6761899248,971.93523798496
2,,2.0,1258.3163736278036,2065.3831211723063
1,,,365.86148888735806,1008.6606865960222
2,,,2575.2882104790347,2068.235963031766
2,,1.0,4958.559461832799,3083.1872531998188
1,,,1936.4020487113187,1364.3270051760298
2,,,12861.9994158456,7131.550785723967
1,,,1015.7111405614785,905.4176297018262
2,2.0,1.0,181.79988546795252,2423.577876985295
1,,,2759.373201886264,1718.047988679727
1,,,2787.639452437841,1765.9918670863703
2,,,1517.730047816293,1107.3817864071075
1,,,554.441618573838,916.8452110925242
2,,,6370.749163134442,4033.4995431296243
3,1.0,1.0,1260.4094939251468,3175.5630972560493
2,1.0,2.0,83.91441611861876,2335.0
2,,,4408.557691087219,3866.562514937589
1,,,43.668131100946994,521.1785822953477
1,,,749.8939341663556,822.8939341663556
2,,,3643.2688417164136,3249.284625998857
2,,,6465.76004948751,3738.174655771073
2,1.0,3.0,1090.5006153137244,3169.301211975216
2,,,2309.4572586722384,2029.3030808482313
2,,1.0,2594.830756085199,2031.4389351502248
4,,,2518.682014239298,3198.424498889909
2,1.0,2.0,17290.708570145303,10901.365635552602
4,1.0,2.0,117.03636412388083,3030.62234154005
2,,,4629.613037681017,3572.9209411097954
2,,1.0,110.40335177272311,1441.4620952978057
2,,,2887.6597962997107,2196.3924980121083
2,,,48.73517767329399,1192.0
2,,,2886.02031489466,2454.979025318104
2,,,2579.74147373852,2535.4171951286576
2,,,7239.550327473927,4235.528839157758
2,,3.0,1180.8497839661152,2188.7575980279103
1,,,1726.4882316966448,1429.7316145162254
3,,,1196.5287224808185,1859.212778863919
1,,,6768.812289662765,3861.764855970181
1,,,148.18743575219105,643.1666666666666
2,,,3946.588292266492,2999.011046962446
3,,1.0,875.0451523432725,2212.603808612834
1,,,2770.501418577396,2188.1337213618945
1,,,1379.1625829537165,1025.1269668861792
1,,,1149.533911174745,1098.331423706802
4,,1.0,215.2702876777169,2535.157053585734
1,,1.0,894.7632529952184,1338.3013220299904
2,,,344.66013497252106,166.52763675384605
2,,,2266.049740947153,1609.4990812994095
2,,,1807.1134336401756,1629.4226867280352
2,,1.0,2692.57418089353,2611.4301827094614
2,,1.0,2930.959694074884,2331.5746578550516
1,,,78.16534170040399,866.0
2,,,2801.5409264647856,2535.6843370165425
3,,,3271.5097120177616,2611.7999186460033
2,,,0.0,1130.6316028426518
1,,,3877.22720086313,2216.226750306412
2,,2.0,8520.88800746243,5972.755688912995
2,,,4775.120098373496,3087.1685791583
2,,2.0,5404.77881234145,4181.0077967966645
3,1.0,,6859.690183597955,4985.966679347685
2,,,5800.055206771705,3065.8075489197736
1,,,2808.7897446957113,1746.5907211660465
2,,,4556.277295035867,3110.807713545121
2,,,9364.705499324093,5367.54329179855
3,,,1112.409477308767,1010.9345881846073
1,,,7525.770610901897,4001.635418937017
5,,,11342.394848410539,7272.2817877113475
2,,,344.8135937509954,1252.2760613403252
2,1.0,1.0,5989.54975714876,3933.0575038878223
2,,1.0,11341.60314040147,6911.991007927261
4,,,7098.807964048686,4736.137908559131
2,,,2057.3041887859886,1792.7320782177594
2,,1.0,864.6955294366362,1337.6185098170981
1,,,1628.2459374241892,1162.3527154521223
2,,,4689.212145284424,4374.65759203828
1,,,5926.931261978264,3101.0549817275532
2,,,1154.087534270845,1109.791333927237
1,,,1117.7111903527848,997.9050817368612
1,,,44.03745729639854,776.0
2,,1.0,3779.18351986984,3399.9933294317552
2,,,7309.828542160309,4315.529012944359
2,,,3956.371701196693,2682.4545281165924
1,,,1446.485495284942,1293.0420350326342
1,,,1076.2804226224468,989.1781652641346
3,1.0,,5996.456186725206,4218.500429614394
2,,2.0,2213.3893139457837,3119.23014151343
2,,5.0,138.96550130491653,2728.5935073706232
3,1.0,,0.0,2193.5221905806225
3,1.0,2.0,9446.488304769819,7187.09918400733
2,,2.0,17704.874986587194,10911.304919680591
1,1.0,,6126.951868104568,4012.1287321399195
2,,,0.0,1024.8901198646386
2,,,6628.579961822572,3935.822080437271
1,,,2526.181109981846,1636.8744482938137
2,,2.0,6858.868494971902,4525.309485815802
3,,1.0,1953.6263743287714,2755.253859544389
1,,,2390.012984776272,1919.157840484571
1,,,241.48547203870754,860.3907105626436
1,,,2099.548172162168,1404.4258374364085
1,,,1267.9882691864755,1030.0885434917657
2,,2.0,7871.619034253568,5320.271595274887
3,2.0,1.0,648.3901795171648,3122.081491563855
5,,,7235.231423263529,4181.584484327852
2,,4.0,98.38511003929342,2376.4478496154807
3,1.0,2.0,1543.1109241279164,3180.370004910031
1,,,2632.495217933818,2346.5062820227713
2,,,9731.781303159503,9369.311938014802
2,,,3086.6046561497174,2126.922990440175
2,,2.0,8029.7876545414165,5262.284950417457
1,,,3017.0258696125265,1851.5573102646154
3,,,21959.548574535773,12878.971147813081
2,,,3279.2384711508125,2511.5605600603953
4,,1.0,6680.101355090732,5450.735519642843
2,,1.0,196.21515171956702,1401.6956448751698
1,,,2968.2086875381015,2968.2086875381015
1,,,1079.9498844916586,1204.2673498076038
1,,,1857.8741260976628,1685.6011374773643
2,1.0,,9452.732954108204,5557.878331704209
2,,2.0,5589.282260297013,4342.016086790401
6,,,9886.887727732625,6466.8607993496835
1,,,4134.046600127975,2316.559252460049
2,,,1469.850420328185,912.3195076822162
2,,1.0,9862.30089273965,6152.951410100733
1,,,2223.9970285879986,1465.6967274975302
1,,,244.3210768977172,814.8642153795433
3,,,1992.5268007089203,1826.4696053740813
1,,,4808.758456594657,2623.1234292799318
1,1.0,,2174.003131517554,2044.8666214334917
2,,,0.0,748.0
1,,,801.9103200630216,794.1163645200398
2,,,2003.8332598564054,1760.6881692058564
3,1.0,,4615.541575517237,3619.2614130089414
2,,5.0,136.4267045570234,3196.0
1,,,1161.602478298461,1108.3962277984247
2,,2.0,14506.767061625396,10736.890560524564
1,,1.0,1685.5452254989655,1793.4235672363952
1,,,3635.2792239108917,2910.4484941838546
1,,,3155.4117504044134,2230.7895520173424
1,,,1945.759546247452,1656.5433048235072
1,,,809.945056655979,880.945056655979
1,,,289.67475884521104,258.24504751050563
1,,,24.15473515088071,731.667117870996
3,,,4842.781586273774,3458.3362836740416
2,,,239.1295066370434,1228.0
2,,2.0,2987.727428568095,2970.4229185293043
3,,1.0,6345.855651293106,4634.832319230558
2,,,195.73341876735975,1347.1266797332587
1,,3.0,99.45360142927939,2001.4693036835113
2,1.0,,1050.1797949726213,1662.1180433686843
4,,,6507.366329977815,4512.005513005412
2,,,10048.297321376507,5634.550102606621
1,,,53.07109858839494,754.1458957776894
2,,1.0,1985.733902181515,2127.5217012695402
2,,,1488.9543204538422,1391.861763544018
2,,,1639.710026151068,1421.3545996878324
2,,4.0,118.55454461854652,2455.9968296969037
3,1.0,1.0,1970.8719836452053,3412.358823824177
3,1.0,1.0,35.5553608848478,2301.0
2,,,7183.78310109929,5739.46665961046
2,,,2300.778230375334,2051.5546315277325
2,,1.0,2581.5235132194416,2208.289660082748
1,,,467.89888355339366,1084.1726558757834
2,,,6443.032593195397,4040.4130777817827
3,,,656.328175826064,1750.2656351652129
3,,,4656.155492675197,3395.5364831745705
4,,,9762.478416430406,6464.693420920508
1,,,1879.4228797725432,1624.0804832602375
1,,,6286.756622371152,3315.081541158849
1,,,443.69502893558155,641.379836181856
1,,,28.427181544527535,727.471868162734
3,,,1030.0212913126131,2058.3166304235824
1,,,2738.379313610812,1715.087911278442
3,,,10692.146238417103,6445.818525620213
2,,2.0,8078.793090496378,5956.349929929176
2,1.0,1.0,12826.103542684827,8216.530654089736
2,,1.0,844.7039097248716,1108.8141090197494
2,,,4011.1911424736013,3078.971430805092
2,,,13919.171054100176,7661.589467947784
1,,,2647.2645810737326,1671.9928223923716
2,,,3465.0214582268936,2658.310798042963
2,,,3146.5636714671086,2317.9819728266816
1,,,836.4919524502511,843.2945256213857
2,,,4351.241880960794,2778.3585625759483
2,,,277.4481052555997,277.43360841464806
1,,,2304.255286722315,1572.1759035139987
1,,,0.0,641.0
2,,3.0,108.13379069620349,2030.027726598456
1,,,16.73475690608899,16.73475690608899
4,,,4863.134881588913,3478.5999175379175
1,,,3345.8771670973715,2052.95633178756
2,,,4453.940664472594,2856.6416522848067
3,,,6046.442689933596,4338.283132253448
2,1.0,2.0,7338.706647175447,5852.980581513278
2,,,5672.9051517473945,3633.5311582242443
2,,2.0,7306.058809565587,5206.842805078097
3,,1.0,5933.476553355228,4373.479057272032
2,1.0,,3531.1647465408487,2782.1322400000226
4,,,7966.608665150151,6675.8900551246315
1,,,0.0,911.2472337539268
2,,2.0,11128.552082139648,7343.17824799078
4,,,2951.3853732570733,2172.621629886629
2,,,17392.75251542313,9162.089075765369
1,,,942.2238099517725,999.4447619903546
2,,,2023.0451580812141,2524.56286367826
1,,,3444.9629673291497,2065.7069493890954
2,,,212.65692998847845,1234.317536029102
1,,,2064.030288058643,1862.8103347143829
4,2.0,,12011.42064540388,9018.261763322727
2,,,6872.289176924128,4031.7715118622777
3,1.0,1.0,90.61537242829101,2243.898972591259
1,,,20475.724545517347,11149.089860192573
4,,,3226.711002556561,3394.467022081452
