longname;risk
Angola;5.3600001
Argentina;6.3899999
Australia;9.3199997
Burkina Faso;4.4499998
Bahamas;7.5
Bolivia;5.6399999
Brazil;7.9099998
Canada;9.7299995
Chile;7.8200002
Cote d'Ivoire;7
Cameroon;6.4499998
Congo;4.6799998
Colombia;7.3200002
Costa Rica;7.0500002
Dominican Re;6.1799998
Algeria;6.5
Ecuador;6.5500002
Egypt;6.77
Ethiopia;5.73
Gabon;7.8200002
Ghana;6.27
Guinea;6.5500002
Gambia;8.2700005
Guatemala;5.1399999
Guyana;5.8899999
Honduras;5.3200002
Haiti;3.73
Jamaica;7.0900002
Kenya;6.0500002
Morocco;7.0900002
Madagascar;4.4499998
Mexico;7.5
Mali;4
Malta;7.23
Niger;5
Nigeria;5.5500002
Nicaragua;5.23
New Zealand;9.7299995
Panama;5.9099998
Peru;5.77
Paraguay;6.9499998
Sudan;4
Senegal;6
Sierra Leone;5.8200002
El Salvador;5
Togo;6.9099998
Trinidad and Tobago;7.4499998
Tunisia;6.4499998
Tanzania;6.6399999
Uganda;4.4499998
Uruguary;7
USA;10
Venezuela;7.1399999
South Africa;6.8600001
Zaire;3.5
